state,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38
AL,1.2,1.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,1.7,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,0.85,1.5,0.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1.43,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,5.9,5.9,2.25,2.25,0.95,0.95,2.75,0.95,0.85,1.35,3.2,3.2,3.9,3.25,3.25,2.5,0.9,2,1.4,2.4,2.4,2.4,2.4,2.4,4,4,2,3.25,3.25,3.25,3.25,3.25,3.25,2.9,2.9,,,,
FL,1.3,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,1.15,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,1.25,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1.08,1.22,0.6,0.6,0.6,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,1.15,1.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0.7,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1.3,1.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0.8,1.25,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,1.7,1.1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,1.15,1.15,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,1.2,0.65,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,1.74,1.66,1.71,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,4.3,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,1.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,1.15,1.2,1.15,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,1.1,1.15,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,1.35,1.7,1,1.35,1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,1,0.95,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0.59,0.92,0.91,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,5.9,5.9,2.25,2.25,0.95,0.95,2.75,0.95,0.85,1.35,3.2,3.2,3.9,3.25,3.25,2.5,0.9,2,1.4,2.4,2.4,2.4,2.4,2.4,4,4,2,3.25,3.25,3.25,3.25,3.25,3.25,2.9,2.9,,,,
SC,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1.1,1.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,1.35,1.2,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,1.6,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,1.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0.9,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,1.15,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,1.29,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,0.65,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,1.7,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,5.9,5.9,2.25,2.25,0.95,0.95,2.75,0.95,0.85,1.35,3.2,3.2,3.25,3.25,3.9,2.5,0.9,2,1.4,2.4,2.4,2.4,2.4,2.4,4,4,2,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,2.9,2.9
DC,2.49,1.68,0.83,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
